2026-08-07 20:01:17 - ERROR - dynamic_module_elint_8365368194760508194 - elint.py:826 - 读取CSV文件失败 C:\Users\xbzhong\Desktop\lint\script\monitor\develop\monitor\test\lint_mem.csv: [Errno 2] No such file or directory: 'C:\\Users\\xbzhong\\Desktop\\lint\\script\\monitor\\develop\\monitor\\test\\lint_mem.csv'
2026-08-07 20:01:17 - ERROR - dynamic_module_elint_8365368194760508194 - elint.py:826 - 读取CSV文件失败 C:\Users\xbzhong\Desktop\lint\script\monitor\develop\monitor\test\lint_cpu.csv: [Errno 2] No such file or directory: 'C:\\Users\\xbzhong\\Desktop\\lint\\script\\monitor\\develop\\monitor\\test\\lint_cpu.csv'
2026-08-07 20:01:49 - ERROR - dynamic_module_elint_8365368194760508194 - elint.py:826 - 读取CSV文件失败 C:\Users\xbzhong\Desktop\lint\script\monitor\develop\monitor\test\lint_mem.csv: [Errno 2] No such file or directory: 'C:\\Users\\xbzhong\\Desktop\\lint\\script\\monitor\\develop\\monitor\\test\\lint_mem.csv'
2026-08-07 20:01:49 - ERROR - dynamic_module_elint_8365368194760508194 - elint.py:826 - 读取CSV文件失败 C:\Users\xbzhong\Desktop\lint\script\monitor\develop\monitor\test\lint_cpu.csv: [Errno 2] No such file or directory: 'C:\\Users\\xbzhong\\Desktop\\lint\\script\\monitor\\develop\\monitor\\test\\lint_cpu.csv'
2026-08-07 21:40:43 - ERROR - dynamic_module_elint_3317963044998105620 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:40:43 - ERROR - dynamic_module_elint_3317963044998105620 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:42:22 - ERROR - dynamic_module_elint_-3238823033300831848 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:42:22 - ERROR - dynamic_module_elint_-3238823033300831848 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:42:22 - ERROR - dynamic_module_elint_-3238823033300831848 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('Overall', '0.02', '50.0', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:42:22 - ERROR - dynamic_module_elint_-3238823033300831848 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('Overall', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:42:22 - ERROR - dynamic_module_elint_-3238823033300831848 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Overall', '30.0', '100.0', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:42:22 - ERROR - dynamic_module_elint_-3238823033300831848 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Overall', '60', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:43:08 - ERROR - dynamic_module_elint_-2004892326444349363 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:43:08 - ERROR - dynamic_module_elint_-2004892326444349363 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('astManager', '0.02', '0.02', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
2026-08-07 21:43:08 - ERROR - dynamic_module_elint_-2004892326444349363 - elint.py:532 - [('Analysis', '0.04', '0.69', '176.00', '0.00', '0.87'), ('Elaborate', '0.05', '0.09', '180.12', '2.75', '2.24'), ('DoUniquify', '0.01', '0.02', '193.88', '1.38', '1.37'), ('Overall', '0.02', '50.0', '195.25', '1.38', '1.28'), ('ltUtData', '0.00', '0.00', '195.25', '0.00', '0.03'), ('E0136', '0.00', '0.00', '195.25', '0.00', '0.00'), ('E0306', '0.01', '0.01', '195.25', '0.00', '0.00'), ('E0267', '0.01', '0.01', '195.25', '0.00', '0.01')]
